"0001.hk","0011.hk","0293.hk","0941.hk","1299.hk"
83.680412,114.847763,15.931014,83.365509,42.131832
82.854347,113.428795,15.402496,82.179771,41.364929
80.694069,112.541946,15.421373,80.948441,40.262505
79.995132,112.275894,16.006516,83.684738,40.310436
79.804527,112.541946,16.214148,85.372108,40.933548
79.296196,112.630638,16.686039,86.694656,41.173203
90.987648,113.606171,16.497282,86.512222,41.22113
91.114777,114.670395,16.553911,88.838066,42.0839
90.479149,115.202515,16.742662,88.017181,42.179768
90.606262,116.000679,16.667162,89.339722,43.138397
89.653259,115.823311,16.42178,89.248512,42.802879
89.144753,115.912003,15.968766,88.473236,42.994602
89.589249,116.178055,16.006516,89.522141,42.75494
89.334991,116.710175,16.233027,93.124924,42.946663
89.907516,116.976212,16.289652,94.219437,43.186329
92.63942,117.863068,17.252306,95.313942,43.090466
92.385155,118.395203,17.101303,94.766685,43.521851
91.622398,119.991531,16.912544,93.672173,43.857372
92.322052,119.725471,16.950296,94.310654,44.432549
92.385155,120.523628,16.98805,95.131523,43.234257
94.355194,120.434959,17.082426,93.489754,43.378052
95.053947,120.967049,16.969172,94.766685,43.330124
94.545433,120.967049,16.346277,93.945801,42.802879
93.655548,127.263748,16.402905,96.317245,42.707012
93.083923,128.505325,16.459532,98.779907,42.659081
95.37133,127.441086,16.384027,96.590881,42.37149
94.355194,126.997681,16.138645,94.766685,42.515285
94.672569,126.642929,16.157522,94.584267,42.37149
95.879837,126.11084,16.459532,93.033707,42.0839
94.672569,123.982407,16.138645,96.955719,41.988037
95.244202,125.933434,16.233027,97.776596,42.611153
96.261215,126.731628,16.119772,97.320549,42.659081
96.451469,128.327957,16.157522,97.776596,42.611153
96.57859,128.327957,16.214148,97.502975,42.659081
96.832848,126.55426,16.082022,95.587593,42.707012
96.134087,126.11084,16.119772,96.590881,43.713573
96.57859,125.046593,16.195272,96.682091,43.809441
97.214233,124.869255,16.346277,97.594185,43.857372
97.531593,125.401337,16.42178,96.134827,43.761509
99.374504,124.514488,16.365152,95.587593,45.391182
99.057144,125.933434,16.2519,93.489754,46.349812
98.0401,126.11084,16.100893,92.212814,46.829124
97.341362,126.376907,15.798885,93.763382,45.630833
96.705727,125.135307,15.723382,92.395248,46.541538
96.896851,124.774673,15.459123,92.851295,46.253948
97.277344,124.143593,15.421373,91.0271,45.199451
98.064468,122.971558,15.459123,89.294113,45.15152
98.064468,122.520767,15.553502,90.981491,45.199451
98.064468,122.160172,15.666756,91.118317,44.720139
100.901451,122.610947,15.742258,93.580963,45.343246
100.901451,122.791252,16.082022,93.216133,44.76807
101.853394,122.340469,15.98764,94.401855,44.816002
102.458229,125.856537,16.119772,91.30072,46.20602
101.920181,125.315613,16.610537,89.704559,46.01429
101.248566,124.774673,16.591661,90.79908,45.966358
101.785675,125.225449,16.761543,92.48645,45.91843
104.004669,127.299011,16.686039,93.124924,46.877052
105.013039,126.848236,16.610537,92.395248,46.877052
105.752388,126.758087,16.742662,91.16391,46.829124
107.903656,126.577774,16.780416,91.665565,47.212578
106.760773,126.667923,16.931423,92.304024,46.781197
107.029778,127.118713,17.49769,92.48645,47.16465
107.164307,126.758087,17.516565,93.763382,47.308437
105.752388,127.389183,18.033449,99.96563,49.609158
111.40004,128.290726,18.397177,100.239258,51.430557
112.677444,129.192291,18.512043,100.877724,51.526421
115.299019,129.913513,18.607763,101.333771,51.190903
113.685814,129.913513,18.569473,99.692009,51.047108
111.601341,130.454437,18.760912,97.046928,50.376057
110.996506,130.454437,18.492899,96.226044,49.944672
110.592964,130.724899,18.741768,98.232658,51.047108
110.592964,129.102127,18.531187,98.32386,49.752953
113.551315,130.544601,18.684336,105.71183,49.369492
112.475197,132.437836,19.124643,104.434891,48.938118
110.996506,135.052353,19.143787,104.343697,49.992607
112.946465,136.134232,19.335226,104.982155,49.705017
113.416786,137.125916,19.574524,105.894249,49.944672
