code,name
1,CKH Holdings
2,CLP Hldgs
3,HK & China Gas
4,Wharf (Hldgs)
5,HSBC Hldgs
6,Power Assets
11,Hang Seng Bank
12,Henderson Land
16,SHK Prop
17,New World Dev
19,Swire Pacific 'A'
23,Bank of E Asia
27,Galaxy Ent
66,MTR Corporation
83,Sino Land
101,Hang Lung Prop
135,Kunlun Energy
144,China Mer Hldgs
151,Want Want China
267,CITIC
291,China Resources
293,Cathay Pac Air
322,Tingyi
386,Sinopec Corp
388,HKEx
494,Li & Fung
688,China Overseas
700,Tencent
762,China Unicom
823,Link REIT
836,China Res Power
857,PetroChina
883,CNOOC
939,CCB
941,China Mobile
992,Lenovo Group
1044,Hengan Int'l
1088,China Shenhua
1109,China Res Land
1113,CK Property
1299,AIA
1398,ICBC
1880,Belle Int'l
1928,Sands China
2318,Ping An
2319,Mengniu Dairy
2388,BOC Hong Kong
2628,China Life
3328,Bankcomm
3988,Bank of China
